         n |       linearno |       dvojisko |
-----------+----------------+----------------+
      1000 |           2793 |            171 |
      2000 |           5177 |            213 |
      3000 |           8021 |            272 |
      4000 |          10350 |            268 |
      5000 |          13320 |            342 |
      6000 |          16192 |            352 |
      7000 |          18704 |            379 |
      8000 |          21962 |            389 |
      9000 |          23808 |            490 |
     10000 |          26552 |            536 |
